Step: 488 | Reward: -21 | Advantage: -1.2565 | Loss: -3.2624e-07 | Prob: 0.52561 | Log Prob: -0.6432 | Grad Norm: 68551 | Time: 6.5519 | Total Time: 17.434
Step: 492 | Reward: -21 | Advantage: -1.1246 | Loss: -4.1267e-07 | Prob: 0.52075 | Log Prob: -0.65249 | Grad Norm: 61411 | Time: 6.8075 | Total Time: 17.547
Step: 496 | Reward: -21 | Advantage: -1.3237 | Loss: -9.0198e-07 | Prob: 0.52133 | Log Prob: -0.65136 | Grad Norm: 71982 | Time: 6.0293 | Total Time: 17.648
Step: 500 | Reward: -21 | Advantage: -1.3662 | Loss: -3.4568e-07 | Prob: 0.52816 | Log Prob: -0.63836 | Grad Norm: 64507 | Time: 5.9943 | Total Time: 17.748
Step: 504 | Reward: -21 | Advantage: -1.3119 | Loss: -3.2794e-07 | Prob: 0.54439 | Log Prob: -0.60809 | Grad Norm: 63459 | Time: 5.6678 | Total Time: 17.842
Step: 508 | Reward: -21 | Advantage: -1.5222 | Loss: -9.1811e-07 | Prob: 0.56403 | Log Prob: -0.57264 | Grad Norm: 81308 | Time: 5.4515 | Total Time: 17.933
Step: 512 | Reward: -21 | Advantage: -1.5787 | Loss: 3.503e-07 | Prob: 0.59763 | Log Prob: -0.51479 | Grad Norm: 80670 | Time: 5.5572 | Total Time: 18.026
Traceback (most recent call last):
  File "C:\Users\Elene2004\Python\Files\PingPong-PPO\Policy_Gradient.py", line 118, in <module>
    reward, discounted_reward, loss, prob, log_prob, grad_norm = train_episode()
  File "C:\Users\Elene2004\Python\Files\PingPong-PPO\Policy_Gradient.py", line 61, in train_episode
    obs, reward, terminated, truncated, info = env.step(action)
  File "C:\Users\Elene2004\anaconda3\envs\pong_rl\lib\site-packages\gymnasium\wrappers\common.py", line 393, in step
    return super().step(action)
  File "C:\Users\Elene2004\anaconda3\envs\pong_rl\lib\site-packages\gymnasium\core.py", line 322, in step
    return self.env.step(action)
  File "C:\Users\Elene2004\anaconda3\envs\pong_rl\lib\site-packages\gymnasium\wrappers\common.py", line 285, in step
    return self.env.step(action)
  File "C:\Users\Elene2004\anaconda3\envs\pong_rl\lib\site-packages\ale_py\env.py", line 299, in step
    reward += self.ale.act(action_idx, strength)
KeyboardInterrupt
