Using device: cuda
Episode: 4416, Reward: -19.8125, Loss: -0.17138063, Time: 21176.87ms
Episode: 4432, Reward: -19.875, Loss: -0.21150631, Time: 20580.41ms
Episode: 4448, Reward: -20.125, Loss: -0.25163608, Time: 21198.98ms
Episode: 4464, Reward: -20.5, Loss: -0.06520211, Time: 21200.64ms
Episode: 4480, Reward: -20.625, Loss: -0.06549400, Time: 20385.14ms
Episode: 4496, Reward: -19.9375, Loss: -0.13941444, Time: 20809.12ms
Episode: 4512, Reward: -20.25, Loss: -0.17398678, Time: 20594.25ms
Episode: 4528, Reward: -20.375, Loss: -0.08826473, Time: 20786.89ms
Episode: 4544, Reward: -20.125, Loss: -0.18984304, Time: 20985.12ms
Episode: 4560, Reward: -20.0, Loss: -0.22895550, Time: 20798.06ms
Episode: 4576, Reward: -20.375, Loss: -0.19773666, Time: 21004.66ms
Episode: 4592, Reward: -20.125, Loss: -0.21604725, Time: 21192.44ms
Episode: 4608, Reward: -20.5, Loss: -0.14809054, Time: 20974.24ms
Episode: 4624, Reward: -20.25, Loss: -0.19813743, Time: 20791.35ms
Episode: 4640, Reward: -20.125, Loss: -0.22852482, Time: 20993.76ms
Episode: 4656, Reward: -20.5, Loss: -0.12425757, Time: 21410.49ms
Episode: 4672, Reward: -20.25, Loss: -0.22800118, Time: 20580.87ms
Episode: 4688, Reward: -20.25, Loss: -0.15055405, Time: 20995.99ms
Episode: 4704, Reward: -20.125, Loss: -0.21021494, Time: 21182.31ms
Episode: 4720, Reward: -20.25, Loss: -0.19657710, Time: 21211.24ms
Episode: 4736, Reward: -20.375, Loss: -0.08816702, Time: 21191.92ms
Episode: 4752, Reward: -20.1875, Loss: -0.19060042, Time: 21211.35ms
Episode: 4768, Reward: -20.375, Loss: -0.14794400, Time: 21168.63ms
Episode: 4784, Reward: -20.6875, Loss: -0.05779703, Time: 20822.64ms
Episode: 4800, Reward: -20.0, Loss: -0.19746063, Time: 20989.23ms
Episode: 4816, Reward: -20.75, Loss: 0.02262025, Time: 21581.95ms
Episode: 4832, Reward: -20.125, Loss: -0.16623421, Time: 20966.49ms
Episode: 4848, Reward: -20.0, Loss: -0.30334990, Time: 21208.57ms
Episode: 4864, Reward: -19.8125, Loss: -0.12223906, Time: 20395.34ms
Episode: 4880, Reward: -20.625, Loss: -0.07757411, Time: 20593.78ms
Episode: 4896, Reward: -20.5, Loss: -0.12039604, Time: 21180.96ms
Episode: 4912, Reward: -20.25, Loss: -0.16295590, Time: 20600.18ms
Episode: 4928, Reward: -20.125, Loss: -0.19571515, Time: 20823.10ms
Episode: 4944, Reward: -20.125, Loss: -0.23210278, Time: 20349.92ms
Episode: 4960, Reward: -20.1875, Loss: -0.18150085, Time: 20806.63ms
Episode: 4976, Reward: -20.5, Loss: -0.16361101, Time: 21196.58ms
Episode: 4992, Reward: -20.125, Loss: -0.19318987, Time: 20783.92ms
Episode: 5008, Reward: -20.0, Loss: -0.23493341, Time: 20989.44ms
Episode: 5024, Reward: -19.875, Loss: -0.17081021, Time: 21818.07ms
Episode: 5040, Reward: -20.375, Loss: -0.04597311, Time: 20589.33ms
Episode: 5056, Reward: -20.375, Loss: -0.09680158, Time: 20584.94ms
Episode: 5072, Reward: -20.5625, Loss: -0.08125346, Time: 20995.17ms
Episode: 5088, Reward: -20.3125, Loss: -0.05790381, Time: 21205.05ms
Episode: 5104, Reward: -20.25, Loss: -0.12599696, Time: 20987.76ms
Episode: 5120, Reward: -20.125, Loss: -0.28756980, Time: 20779.77ms
Episode: 5136, Reward: -20.0625, Loss: -0.23687918, Time: 20798.38ms
Episode: 5152, Reward: -20.5, Loss: -0.17196317, Time: 20783.82ms
Episode: 5168, Reward: -19.875, Loss: -0.15446238, Time: 20794.27ms
Episode: 5184, Reward: -20.0, Loss: -0.07763776, Time: 20995.55ms
Episode: 5200, Reward: -20.0, Loss: -0.11458152, Time: 21022.36ms
Episode: 5216, Reward: -20.25, Loss: -0.12287397, Time: 21564.43ms
Episode: 5232, Reward: -20.375, Loss: -0.18096458, Time: 20798.84ms
Episode: 5248, Reward: -19.75, Loss: -0.26955833, Time: 20809.72ms
Episode: 5264, Reward: -20.0, Loss: -0.23518400, Time: 20578.35ms
Episode: 5280, Reward: -20.0, Loss: -0.27426707, Time: 20604.33ms
Episode: 5296, Reward: -20.5625, Loss: -0.07009714, Time: 20803.24ms
Episode: 5312, Reward: -20.125, Loss: -0.10692327, Time: 20977.98ms
Episode: 5328, Reward: -20.125, Loss: -0.23858281, Time: 20977.92ms
Episode: 5344, Reward: -20.5, Loss: -0.17987697, Time: 20407.26ms
Episode: 5360, Reward: -20.375, Loss: -0.22280363, Time: 20982.04ms
Episode: 5376, Reward: -20.25, Loss: -0.22118655, Time: 20807.46ms
Episode: 5392, Reward: -20.125, Loss: -0.11082174, Time: 20772.37ms
Episode: 5408, Reward: -20.375, Loss: -0.08340917, Time: 21213.39ms
Episode: 5424, Reward: -20.25, Loss: -0.23229185, Time: 20983.49ms
Episode: 5440, Reward: -20.5, Loss: -0.10206819, Time: 20808.60ms
Episode: 5456, Reward: -20.1875, Loss: -0.22906677, Time: 21602.00ms
Episode: 5472, Reward: -20.125, Loss: -0.21623000, Time: 20977.30ms
Episode: 5488, Reward: -20.1875, Loss: -0.20351727, Time: 21192.04ms
Episode: 5504, Reward: -19.875, Loss: -0.05032309, Time: 21183.95ms
Episode: 5520, Reward: -20.4375, Loss: -0.15226568, Time: 20580.08ms
Episode: 5536, Reward: -20.25, Loss: -0.19014333, Time: 20802.67ms
Episode: 5552, Reward: -20.25, Loss: -0.06944966, Time: 20585.39ms
Episode: 5568, Reward: -19.9375, Loss: -0.18657195, Time: 20803.04ms
Episode: 5584, Reward: -20.0, Loss: -0.27796907, Time: 21398.50ms
Episode: 5600, Reward: -19.375, Loss: -0.11588495, Time: 20983.95ms
Episode: 5616, Reward: -20.5, Loss: -0.14760172, Time: 20823.58ms
Episode: 5632, Reward: -20.125, Loss: -0.18123736, Time: 20989.16ms
Episode: 5648, Reward: -20.125, Loss: -0.15407592, Time: 20571.96ms
Episode: 5664, Reward: -20.25, Loss: -0.22292236, Time: 21004.24ms
Episode: 5680, Reward: -20.3125, Loss: -0.15232695, Time: 20782.05ms
