Episode: 644, Loss: -0.011085418984293938, Reward: -19.5, Advantage: -1.1507007968702965e-07, Max Prob: 0.6297138333320618, Max Log Prob: -0.4624897837638855
Episode: 648, Loss: 0.007493611425161362, Reward: -20.0, Advantage: -2.9795200973126157e-08, Max Prob: 0.6016812920570374, Max Log Prob: -0.5080273747444153
Episode: 652, Loss: -0.00889216922223568, Reward: -20.25, Advantage: 9.803684974940552e-08, Max Prob: 0.5431329011917114, Max Log Prob: -0.6104012131690979
Episode: 656, Loss: 0.0017458514776080847, Reward: -20.0, Advantage: -7.211743735524578e-08, Max Prob: 0.5707100033760071, Max Log Prob: -0.5608741044998169
Episode: 660, Loss: -0.0019013630226254463, Reward: -19.5, Advantage: -2.2198220150926318e-08, Max Prob: 0.5580362677574158, Max Log Prob: -0.5833313465118408
Episode: 664, Loss: -0.003621824085712433, Reward: -20.25, Advantage: 2.2408028144127456e-07, Max Prob: 0.6271177530288696, Max Log Prob: -0.46662095189094543
Episode: 668, Loss: -0.014650993049144745, Reward: -20.25, Advantage: 1.0199672573207863e-07, Max Prob: 0.5869565606117249, Max Log Prob: -0.5328044891357422
Episode: 672, Loss: -0.023106351494789124, Reward: -20.5, Advantage: -7.688556280527337e-08, Max Prob: 0.6203552484512329, Max Log Prob: -0.4774630069732666
Episode: 676, Loss: -0.009670731611549854, Reward: -20.0, Advantage: 1.1184756942839158e-07, Max Prob: 0.584619402885437, Max Log Prob: -0.5367942452430725
Episode: 680, Loss: -0.009476698935031891, Reward: -19.75, Advantage: -2.879741334282926e-09, Max Prob: 0.6246524453163147, Max Log Prob: -0.47055989503860474
Episode: 684, Loss: -0.01215346995741129, Reward: -20.0, Advantage: 4.6485631344239664e-08, Max Prob: 0.6758250594139099, Max Log Prob: -0.391821026802063
