Using device: cuda
Epoch: 145 | Loss: -0.48896 | Reward: -19.688 | Advantage: -0.70518 | Prob: 0.49976 | LogProg: -0.69339 | Time (s): 36.613 | Total Time (m): 87.671
Epoch: 146 | Loss: -0.50144 | Reward: -20.344 | Advantage: -0.72342 | Prob: 0.5 | LogProg: -0.69315 | Time (s): 38.735 | Total Time (m): 88.316
Epoch: 147 | Loss: -0.47276 | Reward: -19.688 | Advantage: -0.68204 | Prob: 0.5 | LogProg: -0.69315 | Time (s): 40.923 | Total Time (m): 88.999
Epoch: 148 | Loss: -0.48838 | Reward: -19.688 | Advantage: -0.70459 | Prob: 0.5 | LogProg: -0.69315 | Time (s): 37.461 | Total Time (m): 89.623
Epoch: 149 | Loss: -0.5012 | Reward: -20.344 | Advantage: -0.72308 | Prob: 0.5 | LogProg: -0.69315 | Time (s): 35.831 | Total Time (m): 90.22
Epoch: 150 | Loss: -0.5154 | Reward: -21 | Advantage: -0.74357 | Prob: 0.5 | LogProg: -0.69315 | Time (s): 41.284 | Total Time (m): 90.908
Epoch: 151 | Loss: -0.54314 | Reward: -21 | Advantage: -0.78357 | Prob: 0.50049 | LogProg: -0.69316 | Time (s): 35.098 | Total Time (m): 91.493
Epoch: 152 | Loss: -0.43129 | Reward: -18.375 | Advantage: -0.62224 | Prob: 0.50049 | LogProg: -0.69313 | Time (s): 40.438 | Total Time (m): 92.167
Epoch: 153 | Loss: -0.46697 | Reward: -19.688 | Advantage: -0.67366 | Prob: 0.50049 | LogProg: -0.69318 | Time (s): 40.351 | Total Time (m): 92.84
Epoch: 154 | Loss: -0.41642 | Reward: -19.031 | Advantage: -0.60078 | Prob: 0.50049 | LogProg: -0.69314 | Time (s): 44.009 | Total Time (m): 93.573
Epoch: 155 | Loss: -0.47601 | Reward: -19.688 | Advantage: -0.68673 | Prob: 0.50049 | LogProg: -0.69315 | Time (s): 36.645 | Total Time (m): 94.184
Epoch: 156 | Loss: -0.54313 | Reward: -21 | Advantage: -0.78357 | Prob: 0.50049 | LogProg: -0.69315 | Time (s): 35.994 | Total Time (m): 94.784
Epoch: 157 | Loss: -0.49685 | Reward: -19.688 | Advantage: -0.71682 | Prob: 0.50049 | LogProg: -0.69313 | Time (s): 34.031 | Total Time (m): 95.351
Epoch: 158 | Loss: -0.50303 | Reward: -20.344 | Advantage: -0.72575 | Prob: 0.50049 | LogProg: -0.69312 | Time (s): 37.75 | Total Time (m): 95.98
